,Id,Precinct,Violation,2007,2008,2009,2010,2011,2012,2013,2014,Max
4295,4566,45,CONSUMPTION OF ALCOHOL,1662,1619,1524,1603,2005,2144,1917,1632,6323
4457,4729,46,CONSUMPTION OF ALCOHOL,3653,2870,3878,3703,3061,2775,2101,3190,6323
4618,4891,47,CONSUMPTION OF ALCOHOL,1405,1803,4092,3121,2743,2150,1587,1222,6323
4783,5057,48,CONSUMPTION OF ALCOHOL,1998,3184,2195,2401,1978,2769,3336,2617,6323
4945,5220,49,CONSUMPTION OF ALCOHOL,864,730,916,1139,1086,919,766,460,6323
5123,5399,50,CONSUMPTION OF ALCOHOL,766,908,1064,529,531,470,397,185,6323
5285,5562,52,CONSUMPTION OF ALCOHOL,2285,2443,2544,3244,3049,3443,2603,2443,6323
5452,5730,60,CONSUMPTION OF ALCOHOL,2172,2066,2477,2767,2274,2683,3172,2097,6323
5613,5892,61,CONSUMPTION OF ALCOHOL,796,1064,970,1167,1050,1205,1209,984,6323
5760,6040,62,CONSUMPTION OF ALCOHOL,755,798,848,663,563,805,694,582,6323
5900,6181,63,CONSUMPTION OF ALCOHOL,401,229,203,338,348,348,138,190,6323
6033,6315,66,CONSUMPTION OF ALCOHOL,1160,1098,747,587,543,763,924,1059,6323
6144,6427,67,CONSUMPTION OF ALCOHOL,1312,1548,1884,1655,1258,1375,1177,1214,6323
6307,6591,68,CONSUMPTION OF ALCOHOL,611,655,785,1005,684,705,639,495,6323
6437,6722,69,CONSUMPTION OF ALCOHOL,506,607,685,661,520,640,373,694,6323
6578,6864,70,CONSUMPTION OF ALCOHOL,1520,1273,1271,1651,1155,1663,1726,1573,6323
6740,7027,71,CONSUMPTION OF ALCOHOL,1975,1775,1945,1911,1303,1072,1018,1409,6323
6906,7194,72,CONSUMPTION OF ALCOHOL,1249,1603,1210,1435,1365,1899,1971,1530,6323
7056,7345,73,CONSUMPTION OF ALCOHOL,3905,3771,4089,3585,1715,1934,3083,3181,6323
7227,7517,75,CONSUMPTION OF ALCOHOL,3616,4324,4388,4629,3689,3880,4771,3547,6323
7416,7707,76,CONSUMPTION OF ALCOHOL,1300,1199,1355,1594,953,1305,815,594,6323
7551,7843,77,CONSUMPTION OF ALCOHOL,3089,2977,3019,3734,2268,2117,2064,2344,6323
7720,8013,78,CONSUMPTION OF ALCOHOL,365,482,369,382,511,534,560,696,6323
7854,8148,79,CONSUMPTION OF ALCOHOL,5234,4735,6094,5401,3411,3871,4326,2960,6323
8032,8327,81,CONSUMPTION OF ALCOHOL,1851,2916,2593,3384,2563,2076,1617,1551,6323
8189,8485,83,CONSUMPTION OF ALCOHOL,2110,2855,2328,2934,3433,3025,2418,2175,6323
8359,8656,84,CONSUMPTION OF ALCOHOL,636,588,473,627,647,748,886,754,6323
8495,8793,88,CONSUMPTION OF ALCOHOL,1449,986,1004,1136,1469,1580,1151,1165,6323
8637,8936,90,CONSUMPTION OF ALCOHOL,2856,5619,4793,5254,6323,5187,3685,3410,6323
8808,9108,94,CONSUMPTION OF ALCOHOL,1998,1481,1249,1556,1377,1797,1430,1272,6323
8960,9261,100,CONSUMPTION OF ALCOHOL,963,901,950,857,1280,1380,1101,1061,6323
9081,9383,101,CONSUMPTION OF ALCOHOL,1264,934,930,1234,1344,1521,1638,1492,6323
9228,9531,102,CONSUMPTION OF ALCOHOL,521,1161,540,877,1445,881,1042,699,6323
9371,9675,103,CONSUMPTION OF ALCOHOL,1262,1000,1149,2117,2630,3045,2175,2646,6323
9540,9845,104,CONSUMPTION OF ALCOHOL,1179,1389,1341,1645,1241,1323,1341,1464,6323
9700,10006,105,CONSUMPTION OF ALCOHOL,1267,1133,1289,1767,1954,1931,2254,2764,6323
9854,10161,106,CONSUMPTION OF ALCOHOL,575,800,695,665,844,896,839,589,6323
10002,10310,107,CONSUMPTION OF ALCOHOL,621,513,694,913,835,757,735,691,6323
10150,10459,108,CONSUMPTION OF ALCOHOL,1501,920,1048,1258,1091,819,1033,944,6323
10285,10595,109,CONSUMPTION OF ALCOHOL,1373,1595,1303,1292,1308,970,1152,845,6323
10421,10732,110,CONSUMPTION OF ALCOHOL,4336,4436,5385,4489,3245,2897,3020,3551,6323
10566,10878,111,CONSUMPTION OF ALCOHOL,257,183,217,364,329,201,188,144,6323
10680,10993,112,CONSUMPTION OF ALCOHOL,302,308,373,491,381,284,312,383,6323
10808,11122,113,CONSUMPTION OF ALCOHOL,941,811,1227,1642,1135,1079,901,1027,6323
10973,11288,114,CONSUMPTION OF ALCOHOL,3548,3354,3023,3394,3786,3426,2442,2324,6323
11161,11477,115,CONSUMPTION OF ALCOHOL,3033,2960,2922,2635,2972,1838,2490,3397,6323
11327,11644,120,CONSUMPTION OF ALCOHOL,1982,2279,2942,2703,2528,3008,2386,1800,6323
11494,11812,121,CONSUMPTION OF ALCOHOL,0,0,0,0,0,0,805,1079,6323
11605,11924,122,CONSUMPTION OF ALCOHOL,515,508,345,598,653,749,525,399,6323
11736,12056,123,CONSUMPTION OF ALCOHOL,113,138,151,132,141,220,94,160,6323
